Team,Conference,Win_Percentage,Play_off
ATL,East,0.439,1
BKN,East,0.39,0
BOS,East,0.79,1
CHA,East,0.256,0
CHI,East,0.476,1
CLE,East,0.585,1
DAL,West,0.61,1
DEN,West,0.695,1
DET,East,0.171,0
GSW,West,0.561,1
HOU,West,0.5,0
IND,East,0.573,1
LAC,West,0.622,1
LAL,West,0.573,1
MEM,West,0.329,0
MIA,East,0.561,1
MIL,East,0.598,1
MIN,West,0.683,1
NOP,West,0.598,1
NYK,East,0.61,1
OKC,West,0.695,1
ORL,East,0.573,1
PHI,East,0.573,1
PHX,West,0.598,1
POR,West,0.256,0
SAC,West,0.561,1
SAS,West,0.268,0
TOR,East,0.305,0
UTA,West,0.378,0
WAS,East,0.183,0
